LOTTERY NUMBER,ONE,TWO,THREE,FOUR,FIVE,SIX,,,,,
1,2,8,10,13,27,30,,,,,
2,1,9,16,20,21,43,,,,,
3,1,5,15,31,36,38,,,,,
4,16,18,26,27,34,40,,,,,
5,9,15,21,23,27,28,,,,,
6,6,12,23,25,28,38,,,,,
7,7,19,21,23,33,35,,,,,
8,11,16,18,20,42,43,,,,,
9,11,19,23,38,39,42,,,,,
10,1,3,19,21,35,39,,,,,
11,12,26,32,37,40,42,,,,,
12,14,17,27,28,35,39,,,,,
13,13,29,31,37,41,42,,,,,
14,2,8,11,35,37,38,,,,,
15,4,6,11,20,21,28,,,,,
16,5,12,13,29,34,35,,,,,
17,14,20,25,34,35,36,,,,,
18,6,16,18,27,36,41,,,,,
19,4,8,12,30,33,43,,,,,
20,7,29,33,35,37,39,,,,,
21,5,7,13,19,38,41,,,,,
22,8,12,16,19,20,35,,,,,
23,7,10,28,32,33,40,,,,,
24,15,18,19,30,36,38,,,,,
25,11,32,34,37,40,43,,,,,
26,3,4,11,12,13,43,,,,,
27,4,8,20,30,33,38,,,,,
28,6,11,15,20,31,41,,,,,
29,8,12,20,35,37,40,,,,,
30,4,16,17,19,26,37,,,,,
31,7,18,22,25,28,43,,,,,
32,3,6,7,23,29,41,,,,,
33,8,17,22,25,29,41,,,,,
34,2,20,25,30,37,40,,,,,
35,3,5,13,30,32,41,,,,,
36,1,16,20,23,30,40,,,,,
37,3,5,9,17,21,41,,,,,
38,2,9,26,27,34,43,,,,,
39,10,18,22,25,39,42,,,,,
40,5,17,25,34,38,39,,,,,
41,18,21,27,33,36,38,,,,,
42,4,15,21,24,33,37,,,,,
43,1,2,3,15,24,26,,,,,
44,3,16,24,31,34,42,,,,,
45,7,9,28,32,36,38,,,,,
46,11,14,21,24,25,42,,,,,
47,3,11,14,25,27,31,,,,,
48,2,5,28,30,33,40,,,,,
49,2,13,21,31,32,41,,,,,
50,5,13,15,25,27,39,,,,,
51,7,15,24,37,38,41,,,,,
52,1,16,24,25,36,42,,,,,
53,2,15,23,37,40,43,,,,,
54,14,25,26,31,37,42,,,,,
55,11,12,13,14,37,39,,,,,
56,10,13,25,31,32,42,,,,,
57,2,14,22,27,35,42,,,,,
58,4,8,9,13,16,25,,,,,
59,9,15,17,30,32,41,,,,,
60,20,21,23,28,30,42,,,,,
61,4,8,22,25,27,28,,,,,
62,2,3,9,12,15,30,,,,,
63,11,16,20,28,34,40,,,,,
64,2,14,19,22,32,41,,,,,
65,2,10,22,23,31,43,,,,,
66,7,15,17,30,33,35,,,,,
67,1,4,6,11,18,25,,,,,
68,16,23,30,35,37,39,,,,,
69,1,9,31,35,40,41,,,,,
70,6,11,20,23,24,31,,,,,
71,1,10,11,13,19,20,,,,,
72,10,12,24,29,33,37,,,,,
73,1,6,15,19,27,36,,,,,
74,3,14,27,28,40,43,,,,,
75,2,4,9,19,23,31,,,,,
76,1,10,12,16,20,35,,,,,
77,5,10,15,28,37,38,,,,,
78,5,14,23,32,33,43,,,,,
79,20,22,27,32,36,43,,,,,
80,1,4,12,16,19,34,,,,,
81,1,11,15,23,26,27,,,,,
82,10,12,19,25,26,39,,,,,
83,1,16,21,28,35,37,,,,,
84,17,19,26,28,35,37,,,,,
85,5,13,18,22,23,32,,,,,
86,3,7,16,24,29,36,,,,,
87,3,8,12,36,39,41,,,,,
88,5,6,8,20,21,26,,,,,
89,3,13,23,30,35,43,,,,,
90,13,15,17,18,30,32,,,,,
91,13,15,17,26,41,43,,,,,
92,5,17,20,24,28,40,,,,,
93,10,23,33,36,37,41,,,,,
94,11,16,17,18,29,40,,,,,
95,2,3,12,15,25,27,,,,,
96,1,13,15,34,36,43,,,,,
97,4,10,17,34,35,42,,,,,
98,7,16,34,37,38,39,,,,,
99,5,9,12,28,29,39,,,,,
100,6,8,11,14,31,33,,,,,
101,21,27,29,30,36,40,,,,,
102,4,5,18,27,35,36,,,,,
103,1,16,17,27,29,34,,,,,
104,1,11,17,26,28,35,,,,,
105,1,9,14,22,25,34,,,,,
106,8,11,21,22,25,27,,,,,
107,4,5,11,12,28,32,,,,,
108,9,22,23,25,34,37,,,,,
109,2,5,12,18,30,41,,,,,
110,5,6,8,19,37,41,,,,,
111,11,15,21,31,32,43,,,,,
112,16,18,23,25,29,30,,,,,
113,3,17,27,29,30,42,,,,,
114,7,13,14,29,38,42,,,,,
115,8,9,11,27,37,39,,,,,
116,8,10,15,16,26,31,,,,,
117,5,7,19,20,38,43,,,,,
118,9,13,21,30,32,37,,,,,
119,3,4,11,12,15,30,,,,,
120,15,18,22,25,36,40,,,,,
121,3,8,10,22,28,41,,,,,
122,19,20,21,25,33,42,,,,,
123,14,21,26,28,29,31,,,,,
124,4,17,23,30,39,40,,,,,
125,11,15,19,30,36,41,,,,,
126,5,6,9,10,21,38,,,,,
127,14,16,21,26,37,40,,,,,
128,6,10,18,20,29,39,,,,,
129,6,18,25,26,30,42,,,,,
130,22,30,31,34,38,39,,,,,
131,6,30,33,34,40,43,,,,,
132,3,18,23,31,32,37,,,,,
133,17,24,26,35,40,41,,,,,
134,2,6,11,14,18,19,,,,,
135,7,13,30,33,35,36,,,,,
136,3,13,26,31,32,39,,,,,
137,10,13,20,22,25,42,,,,,
138,7,9,10,16,23,29,,,,,
139,10,21,22,28,37,41,,,,,
140,17,19,29,37,39,40,,,,,
141,8,9,14,24,32,39,,,,,
142,2,16,22,27,29,39,,,,,
143,17,21,22,27,33,41,,,,,
144,1,16,19,33,38,41,,,,,
145,1,4,10,21,23,38,,,,,
146,7,17,27,36,37,39,,,,,
147,16,18,20,29,30,38,,,,,
148,3,16,18,20,28,29,,,,,
149,8,9,13,20,33,37,,,,,
150,10,11,18,20,31,43,,,,,
151,3,8,17,25,28,32,,,,,
152,4,8,12,16,31,33,,,,,
153,4,7,8,12,25,26,,,,,
154,7,9,18,26,27,38,,,,,
155,5,6,7,18,22,27,,,,,
156,6,20,22,29,30,35,,,,,
157,5,8,17,19,25,27,,,,,
158,1,6,12,35,37,38,,,,,
159,12,23,30,31,38,42,,,,,
160,4,10,20,30,31,32,,,,,
161,23,26,28,33,38,42,,,,,
162,3,22,25,30,33,37,,,,,
163,2,3,11,17,24,34,,,,,
164,1,2,13,14,35,38,,,,,
165,9,11,16,21,25,36,,,,,
166,14,18,20,28,34,38,,,,,
167,10,14,17,19,29,42,,,,,
168,1,6,31,32,36,39,,,,,
169,3,15,17,19,26,36,,,,,
170,10,12,15,17,30,31,,,,,
171,5,6,17,23,32,33,,,,,
172,10,11,22,23,33,34,,,,,
173,6,10,22,30,31,35,,,,,
174,2,9,16,36,38,42,,,,,
175,2,3,10,22,28,40,,,,,
176,8,19,25,31,34,37,,,,,
177,6,18,19,30,36,41,,,,,
178,10,22,27,30,36,39,,,,,
179,3,6,11,13,15,16,,,,,
180,4,10,11,12,20,36,,,,,
181,1,2,7,21,29,30,,,,,
182,22,23,28,37,40,43,,,,,
183,14,29,31,36,38,40,,,,,
184,5,7,23,31,39,42,,,,,
185,8,13,14,18,35,41,,,,,
186,7,16,18,33,36,41,,,,,
187,12,21,22,27,39,40,,,,,
188,3,8,18,25,26,39,,,,,
189,3,32,35,36,39,40,,,,,
190,17,23,30,31,39,43,,,,,
191,4,7,25,27,34,43,,,,,
192,3,7,19,27,39,41,,,,,
193,3,4,18,31,40,43,,,,,
194,4,11,12,21,36,38,,,,,
195,5,10,12,22,26,41,,,,,
196,4,5,11,16,30,33,,,,,
197,9,10,17,22,28,30,,,,,
198,4,5,6,17,20,42,,,,,
199,3,14,24,25,33,36,,,,,
200,4,7,11,19,25,28,,,,,
201,10,13,16,17,24,39,,,,,
202,9,18,26,28,33,40,,,,,
203,12,18,20,27,35,37,,,,,
204,2,17,20,25,39,42,,,,,
205,4,7,9,16,18,34,,,,,
206,1,3,16,22,41,43,,,,,
207,17,21,23,30,31,34,,,,,
208,18,24,29,32,35,39,,,,,
209,8,27,30,35,40,41,,,,,
210,1,6,21,22,37,40,,,,,
211,10,14,23,26,33,36,,,,,
212,1,11,17,32,35,39,,,,,
213,4,7,18,26,29,43,,,,,
214,4,7,9,11,20,36,,,,,
215,1,4,13,18,22,31,,,,,
216,9,21,29,33,35,41,,,,,
217,8,19,23,27,29,39,,,,,
218,8,10,18,22,31,36,,,,,
219,27,28,29,34,35,39,,,,,
220,23,25,26,29,33,37,,,,,
221,8,27,30,31,38,42,,,,,
222,4,14,15,22,29,31,,,,,
223,7,9,19,26,30,32,,,,,
224,12,17,18,19,30,35,,,,,
225,9,11,21,31,35,38,,,,,
226,8,26,36,40,42,43,,,,,
227,6,13,17,29,32,36,,,,,
228,5,8,17,26,36,39,,,,,
229,8,16,21,24,27,36,,,,,
230,4,9,18,31,36,42,,,,,
231,1,4,6,16,18,43,,,,,
232,1,5,7,26,39,43,,,,,
233,6,18,26,40,41,42,,,,,
234,11,17,24,26,27,30,,,,,
235,6,21,23,24,28,39,,,,,
236,1,8,9,14,34,38,,,,,
237,1,3,11,13,27,37,,,,,
238,5,10,15,20,33,37,,,,,
239,4,9,18,30,31,40,,,,,
240,11,15,26,31,36,39,,,,,
241,8,14,27,33,36,40,,,,,
242,1,10,13,22,29,32,,,,,
243,5,34,35,38,42,43,,,,,
244,11,12,30,36,38,39,,,,,
245,3,6,18,24,28,36,,,,,
246,16,28,32,34,39,42,,,,,
247,8,16,30,32,34,39,,,,,
248,11,32,35,36,39,41,,,,,
249,1,3,17,23,33,35,,,,,
250,3,8,9,13,22,42,,,,,
251,2,12,19,25,29,36,,,,,
252,2,6,13,22,32,33,,,,,
253,15,16,19,22,36,43,,,,,
254,12,13,22,23,25,29,,,,,
255,6,7,12,17,34,42,,,,,
256,15,17,18,28,30,37,,,,,
257,7,15,29,30,39,40,,,,,
258,3,15,16,17,25,31,,,,,
259,1,12,15,23,34,42,,,,,
260,11,15,21,31,37,41,,,,,
261,6,17,18,21,35,41,,,,,
262,5,7,11,19,21,25,,,,,
263,1,5,13,22,39,41,,,,,
264,2,5,6,8,20,27,,,,,
265,2,3,16,22,23,28,,,,,
266,11,15,18,24,30,39,,,,,
267,3,5,8,22,35,38,,,,,
268,3,6,8,14,24,36,,,,,
269,1,10,13,15,21,23,,,,,
270,17,19,21,29,33,38,,,,,
271,9,10,19,25,40,41,,,,,
272,7,12,13,20,23,26,,,,,
273,4,18,20,21,29,40,,,,,
274,4,5,14,27,31,39,,,,,
275,4,13,15,31,33,40,,,,,
276,6,11,27,30,33,36,,,,,
277,7,9,18,20,30,38,,,,,
278,9,13,14,17,22,38,,,,,
279,7,11,12,23,30,43,,,,,
280,6,12,26,37,38,39,,,,,
281,3,9,10,11,19,35,,,,,
282,1,9,17,31,41,43,,,,,
283,6,9,16,22,27,37,,,,,
284,20,26,30,33,35,38,,,,,
285,1,3,9,14,16,29,,,,,
286,10,11,14,28,31,41,,,,,
287,1,5,18,34,35,39,,,,,
288,3,4,11,25,28,33,,,,,
289,7,9,12,17,34,38,,,,,
290,11,13,15,17,22,43,,,,,
291,10,15,20,28,41,43,,,,,
292,7,14,27,31,34,39,,,,,
293,6,8,15,17,36,43,,,,,
294,2,5,13,14,17,20,,,,,
295,9,12,18,20,37,43,,,,,
296,4,19,27,30,31,37,,,,,
297,6,8,9,20,38,40,,,,,
298,12,25,29,31,35,40,,,,,
299,2,4,5,17,35,41,,,,,
300,4,7,29,33,36,39,,,,,
301,4,5,6,9,10,11,,,,,
302,2,4,13,23,38,40,,,,,
303,4,24,31,35,37,39,,,,,
304,3,7,8,15,17,31,,,,,
305,1,2,5,23,31,34,,,,,
306,1,20,25,28,31,42,,,,,
307,1,7,11,32,33,40,,,,,
308,3,13,18,20,23,28,,,,,
309,1,4,26,36,41,42,,,,,
310,3,4,5,18,28,37,,,,,
311,1,16,22,36,37,42,,,,,
312,2,17,22,29,38,42,,,,,
313,1,19,21,31,32,40,,,,,
314,3,8,14,30,38,43,,,,,
315,1,2,17,24,40,41,,,,,
316,3,4,20,30,40,41,,,,,
317,7,8,15,30,35,36,,,,,
318,2,7,13,16,36,37,,,,,
319,15,20,23,28,37,40,,,,,
320,1,5,25,27,38,41,,,,,
321,21,29,31,36,38,41,,,,,
322,18,19,22,25,35,42,,,,,
323,9,11,21,23,33,39,,,,,
324,5,13,27,37,39,41,,,,,
325,6,7,18,29,33,39,,,,,
326,1,7,9,14,23,43,,,,,
327,6,12,14,28,31,36,,,,,
328,3,7,10,12,19,36,,,,,
329,6,8,15,17,39,40,,,,,
330,5,12,16,19,28,39,,,,,
331,2,8,17,24,32,38,,,,,
332,7,8,16,24,26,34,,,,,
333,1,5,7,15,41,42,,,,,
334,11,14,17,18,34,36,,,,,
335,4,5,10,23,36,42,,,,,
336,3,6,13,17,20,29,,,,,
337,5,15,16,20,34,39,,,,,
338,8,10,25,31,39,40,,,,,
339,3,5,9,26,34,36,,,,,
340,4,10,13,31,35,42,,,,,
341,4,14,23,25,28,35,,,,,
342,8,15,26,27,34,38,,,,,
343,13,28,29,37,38,41,,,,,
344,8,11,16,20,28,36,,,,,
345,10,21,22,25,35,37,,,,,
346,4,9,11,12,32,38,,,,,
347,8,20,23,27,32,33,,,,,
348,4,5,6,27,36,38,,,,,
349,8,13,15,19,20,30,,,,,
350,13,18,25,26,29,40,,,,,
351,3,13,16,24,26,43,,,,,
352,6,8,24,25,34,38,,,,,
353,1,9,15,16,22,26,,,,,
354,4,6,22,31,34,41,,,,,
355,1,11,24,26,36,37,,,,,
356,1,5,8,12,17,29,,,,,
357,2,10,11,12,19,38,,,,,
358,12,31,32,34,39,42,,,,,
359,3,5,19,20,23,27,,,,,
360,2,3,6,14,26,42,,,,,
361,1,21,28,30,37,43,,,,,
362,7,10,15,20,37,40,,,,,
363,3,6,7,22,27,31,,,,,
364,7,11,12,19,33,42,,,,,
365,6,19,20,28,36,37,,,,,
366,12,13,15,18,30,41,,,,,
367,10,13,17,38,41,43,,,,,
368,7,10,18,21,33,35,,,,,
369,3,9,12,16,18,37,,,,,
370,2,11,13,15,16,32,,,,,
371,14,15,23,24,32,34,,,,,
372,7,19,28,33,35,39,,,,,
373,7,14,15,19,35,43,,,,,
374,4,24,25,26,27,34,,,,,
375,7,9,14,17,36,37,,,,,
376,20,21,25,27,34,38,,,,,
377,2,3,8,20,21,24,,,,,
378,11,13,19,26,36,43,,,,,
379,8,13,15,21,33,34,,,,,
380,17,22,25,26,27,43,,,,,
381,4,13,15,22,39,41,,,,,
382,2,6,15,28,29,43,,,,,
383,7,12,17,18,24,28,,,,,
384,17,19,20,22,33,41,,,,,
385,6,31,34,35,37,40,,,,,
386,2,9,11,15,23,25,,,,,
387,12,16,19,27,30,32,,,,,
388,5,12,14,18,20,31,,,,,
389,6,12,22,25,31,35,,,,,
390,5,16,17,22,39,43,,,,,
391,8,20,23,24,29,38,,,,,
392,10,15,18,30,31,37,,,,,
393,7,18,27,37,38,43,,,,,
394,14,27,28,31,37,40,,,,,
395,15,21,26,28,42,43,,,,,
396,9,12,21,26,33,40,,,,,
397,15,16,23,30,39,43,,,,,
398,2,31,36,37,39,43,,,,,
399,1,14,17,28,31,37,,,,,
400,4,9,19,22,23,33,,,,,
401,14,15,27,34,35,42,,,,,
402,3,18,23,24,29,33,,,,,
403,8,10,13,20,24,33,,,,,
404,3,10,14,18,26,43,,,,,
405,6,13,19,20,30,31,,,,,
406,1,2,4,16,36,37,,,,,
407,11,18,19,30,37,39,,,,,
408,12,20,23,28,31,32,,,,,
409,6,13,17,27,28,36,,,,,
410,2,12,16,20,42,43,,,,,
411,2,4,6,24,35,39,,,,,
412,2,6,7,9,16,19,,,,,
413,2,14,15,26,35,37,,,,,
414,1,2,4,5,9,25,,,,,
415,9,28,33,34,37,43,,,,,
416,12,15,22,24,29,37,,,,,
417,3,20,23,30,31,37,,,,,
418,3,12,16,25,32,36,,,,,
419,5,8,16,25,26,30,,,,,
420,14,19,21,28,29,31,,,,,
421,2,6,8,10,25,34,,,,,
422,5,6,7,8,28,38,,,,,
423,1,2,3,30,35,36,,,,,
424,3,13,17,25,40,41,,,,,
425,2,3,12,20,34,43,,,,,
426,6,8,9,29,32,37,,,,,
427,5,12,13,33,39,42,,,,,
428,8,16,18,35,42,43,,,,,
429,17,25,29,33,37,42,,,,,
430,1,8,18,26,34,42,,,,,
431,1,5,19,20,35,41,,,,,
432,8,20,23,24,42,43,,,,,
433,3,9,11,24,26,34,,,,,
434,3,12,19,33,35,36,,,,,
435,2,11,12,28,35,37,,,,,
436,4,12,21,22,27,38,,,,,
437,2,5,11,21,23,43,,,,,
438,3,9,16,17,20,31,,,,,
439,11,14,20,28,32,41,,,,,
440,9,23,29,30,31,39,,,,,
441,10,18,33,34,39,41,,,,,
442,2,23,26,35,41,42,,,,,
443,6,10,21,22,23,35,,,,,
444,5,13,16,18,24,32,,,,,
445,10,20,23,26,37,40,,,,,
446,3,8,17,26,27,36,,,,,
447,15,23,29,36,42,43,,,,,
448,9,23,32,35,39,42,,,,,
449,19,20,21,23,27,32,,,,,
450,15,20,21,32,40,42,,,,,
451,6,14,16,19,26,39,,,,,
452,1,5,25,27,29,40,,,,,
453,7,17,19,27,35,40,,,,,
454,2,16,18,27,42,43,,,,,
455,11,20,26,28,30,43,,,,,
456,3,7,15,25,30,39,,,,,
457,10,12,27,32,34,43,,,,,
458,1,18,27,30,36,40,,,,,
459,11,13,27,31,37,43,,,,,
460,18,22,23,32,35,40,,,,,
461,8,10,13,30,32,42,,,,,
462,2,4,6,16,31,33,,,,,
463,10,13,16,25,30,42,,,,,
464,10,21,22,25,27,37,,,,,
465,6,24,27,30,32,38,,,,,
466,1,4,19,28,34,40,,,,,
467,18,19,20,24,32,43,,,,,
468,9,17,26,30,34,40,,,,,
469,10,12,20,35,40,43,,,,,
470,1,11,17,23,38,43,,,,,
471,2,13,14,22,23,32,,,,,
472,10,17,28,30,36,42,,,,,
473,6,16,17,22,34,37,,,,,
474,12,15,19,25,28,41,,,,,
475,5,9,10,27,33,42,,,,,
476,7,17,22,30,36,40,,,,,
477,12,14,16,18,38,41,,,,,
478,11,14,23,30,31,38,,,,,
479,5,7,14,17,20,27,,,,,
480,2,5,17,18,35,38,,,,,
481,2,9,11,24,25,34,,,,,
482,4,30,31,36,37,38,,,,,
483,2,8,15,24,33,35,,,,,
484,13,19,25,29,32,35,,,,,
485,14,26,30,33,34,39,,,,,
486,16,25,27,29,34,41,,,,,
487,2,6,8,19,22,34,,,,,
488,5,15,29,34,39,42,,,,,
489,6,8,12,30,33,43,,,,,
490,5,9,13,28,34,40,,,,,
491,7,9,20,27,31,34,,,,,
492,1,8,12,20,23,37,,,,,
493,8,26,30,36,41,42,,,,,
494,8,16,19,23,26,31,,,,,
495,4,6,20,21,29,33,,,,,
496,2,6,11,29,32,41,,,,,
497,6,12,14,17,36,40,,,,,
498,1,25,36,41,42,43,,,,,
499,3,9,15,16,22,35,,,,,
500,6,20,28,31,34,38,,,,,
501,3,17,21,23,36,38,,,,,
502,9,12,27,28,29,41,,,,,
503,1,18,25,27,28,39,,,,,
504,12,21,22,27,29,31,,,,,
505,19,21,27,33,34,43,,,,,
506,5,11,21,27,37,39,,,,,
507,5,14,19,21,28,31,,,,,
508,1,7,14,15,24,42,,,,,
509,3,4,12,18,27,28,,,,,
510,12,15,26,35,41,43,,,,,
511,4,22,23,27,38,43,,,,,
512,14,20,23,25,33,39,,,,,
513,1,6,12,14,15,19,,,,,
514,6,7,14,15,19,41,,,,,
515,2,3,23,25,33,35,,,,,
516,2,14,16,17,29,30,,,,,
517,6,10,13,14,28,37,,,,,
518,14,31,34,35,40,42,,,,,
519,1,13,25,29,30,33,,,,,
520,2,4,12,14,26,43,,,,,
521,1,8,15,21,23,30,,,,,
522,3,6,16,23,25,43,,,,,
523,7,8,26,27,41,43,,,,,
524,7,11,14,18,35,40,,,,,
525,1,11,17,28,33,38,,,,,
526,8,14,18,19,26,27,,,,,
527,5,7,12,23,39,41,,,,,
528,2,5,12,21,28,32,,,,,
529,6,19,21,24,31,41,,,,,
530,1,10,19,30,33,36,,,,,
531,5,12,16,24,26,33,,,,,
532,23,28,33,35,37,42,,,,,
533,6,16,24,31,41,43,,,,,
534,1,2,19,22,26,37,,,,,
535,6,14,23,24,27,32,,,,,
536,4,10,12,14,23,36,,,,,
537,10,18,22,24,26,37,,,,,
538,2,11,14,23,26,33,,,,,
539,3,10,13,17,18,28,,,,,
540,15,23,29,35,36,41,,,,,
541,3,4,5,28,34,43,,,,,
542,10,14,23,35,38,41,,,,,
543,15,17,18,19,22,31,,,,,
544,11,14,16,32,41,42,,,,,
545,16,21,24,28,32,36,,,,,
546,1,14,30,34,40,43,,,,,
547,6,10,11,30,32,39,,,,,
548,12,13,16,28,29,35,,,,,
549,5,14,27,29,32,33,,,,,
550,12,15,19,32,36,42,,,,,
551,15,16,19,21,26,42,,,,,
552,13,22,26,30,40,41,,,,,
553,3,9,11,15,27,37,,,,,
554,16,27,34,35,36,38,,,,,
555,2,3,7,9,36,42,,,,,
556,6,9,13,17,29,30,,,,,
557,6,18,23,32,38,43,,,,,
558,4,32,33,38,41,43,,,,,
559,2,7,16,25,26,43,,,,,
560,4,17,19,37,39,42,,,,,
561,4,14,30,35,40,41,,,,,
562,9,10,11,25,30,37,,,,,
563,4,5,26,28,34,38,,,,,
564,3,12,18,24,34,39,,,,,
565,3,6,8,21,28,32,,,,,
566,10,17,18,29,30,41,,,,,
567,7,13,17,23,28,34,,,,,
568,7,10,15,31,32,42,,,,,
569,4,19,21,25,28,40,,,,,
570,2,4,10,28,38,43,,,,,
571,6,20,21,23,33,38,,,,,
572,10,12,18,38,42,43,,,,,
573,3,5,21,30,37,38,,,,,
574,4,11,16,20,26,43,,,,,
575,4,11,17,21,23,30,,,,,
576,8,9,21,24,29,37,,,,,
577,3,12,29,31,36,37,,,,,
578,16,22,23,27,33,37,,,,,
579,6,8,17,19,23,42,,,,,
580,12,15,17,25,35,43,,,,,
581,5,22,28,29,35,39,,,,,
582,7,10,14,25,32,38,,,,,
583,2,12,17,18,40,43,,,,,
584,10,11,24,26,37,38,,,,,
585,1,28,32,34,41,42,,,,,
586,6,7,10,23,36,42,,,,,
587,10,12,18,27,33,40,,,,,
588,8,13,18,33,34,36,,,,,
589,1,9,10,28,41,42,,,,,
590,20,24,25,27,32,37,,,,,
591,1,13,16,22,27,33,,,,,
592,12,14,22,23,34,41,,,,,
593,2,10,16,26,29,30,,,,,
594,4,5,15,30,34,38,,,,,
595,1,5,15,22,39,40,,,,,
596,2,13,17,24,29,34,,,,,
597,3,4,7,13,16,23,,,,,
598,6,10,15,21,36,41,,,,,
599,1,2,8,13,27,39,,,,,
600,3,20,23,24,28,35,,,,,
601,6,22,25,26,30,39,,,,,
602,8,13,15,18,24,41,,,,,
603,3,8,18,21,23,42,,,,,
604,9,15,20,22,28,43,,,,,
605,1,4,13,25,38,43,,,,,
606,8,15,24,26,35,42,,,,,
607,2,3,8,12,20,21,,,,,
608,4,6,16,17,18,26,,,,,
609,18,24,36,37,39,41,,,,,
610,2,5,12,23,26,41,,,,,
611,10,12,14,24,34,39,,,,,
612,7,18,31,32,39,40,,,,,
613,2,6,18,26,32,37,,,,,
614,2,6,22,25,31,42,,,,,
615,6,16,24,32,36,43,,,,,
616,4,7,18,19,24,35,,,,,
617,5,8,18,28,34,35,,,,,
618,4,15,21,31,35,42,,,,,
619,2,11,29,31,33,38,,,,,
620,7,10,13,19,31,38,,,,,
621,6,15,16,28,36,40,,,,,
622,7,16,18,20,27,36,,,,,
623,7,8,16,35,39,42,,,,,
624,4,8,12,22,25,30,,,,,
625,5,17,26,37,39,42,,,,,
626,6,13,14,22,26,28,,,,,
627,2,4,7,19,34,42,,,,,
628,7,13,15,18,29,38,,,,,
629,6,16,21,30,34,43,,,,,
630,3,7,13,18,19,41,,,,,
631,2,5,7,10,36,40,,,,,
632,3,4,14,21,22,25,,,,,
633,7,9,11,14,15,18,,,,,
634,8,10,13,15,20,40,,,,,
635,8,11,12,15,41,43,,,,,
636,2,12,21,23,24,26,,,,,
637,7,12,16,28,31,34,,,,,
638,6,11,19,28,35,40,,,,,
639,1,16,20,24,33,34,,,,,
640,3,11,18,20,33,39,,,,,
641,3,14,21,24,26,29,,,,,
642,8,13,14,21,33,41,,,,,
643,2,6,21,31,35,37,,,,,
644,4,14,22,23,26,42,,,,,
645,3,10,12,32,33,43,,,,,
646,9,12,14,24,28,33,,,,,
647,2,7,15,22,36,43,,,,,
648,22,26,27,28,36,43,,,,,
649,14,22,29,33,36,40,,,,,
650,12,31,34,40,41,43,,,,,
651,4,15,17,34,38,40,,,,,
652,1,10,16,19,20,39,,,,,
653,13,21,22,26,29,36,,,,,
654,12,18,21,29,32,38,,,,,
655,5,10,23,26,28,29,,,,,
656,2,8,13,17,25,37,,,,,
657,3,20,29,33,34,40,,,,,
658,14,24,32,40,41,42,,,,,
659,21,30,35,39,41,42,,,,,
660,8,20,31,36,37,38,,,,,
661,6,9,17,20,33,40,,,,,
662,12,31,32,34,36,40,,,,,
663,13,18,21,30,33,40,,,,,
664,2,8,11,12,26,29,,,,,
665,13,22,27,29,36,37,,,,,
666,2,6,28,30,31,41,,,,,
667,21,31,34,37,39,40,,,,,
668,7,13,20,27,34,35,,,,,
669,4,6,10,17,24,33,,,,,
670,1,4,7,25,32,41,,,,,
671,5,10,14,16,23,38,,,,,
672,1,5,23,24,36,43,,,,,
673,2,6,16,27,28,29,,,,,
674,8,11,15,22,40,41,,,,,
675,8,10,15,21,24,34,,,,,
676,2,8,20,33,38,42,,,,,
677,4,11,22,31,32,35,,,,,
678,8,24,25,29,32,40,,,,,
679,4,5,7,37,41,42,,,,,
