LOTTERY NUMBER,ONE,TWO,THREE,FOUR,FIVE,SIX,,,,,
680,8,9,23,34,38,41,,,,,
681,1,11,13,30,37,41,,,,,
682,3,5,7,18,19,41,,,,,
683,16,24,29,32,35,38,,,,,
684,6,7,13,18,27,33,,,,,
685,12,23,27,32,39,43,,,,,
686,21,24,26,35,37,38,,,,,
687,16,20,27,33,40,42,,,,,
688,9,12,16,33,34,35,,,,,
689,6,8,12,17,24,31,,,,,
690,7,8,10,21,34,38,,,,,
691,4,7,8,15,16,42,,,,,
692,9,10,12,19,21,42,,,,,
693,4,14,18,22,32,35,,,,,
694,8,23,27,31,38,40,,,,,
695,4,7,11,12,13,19,,,,,
696,2,10,14,19,36,39,,,,,
697,2,12,14,18,40,41,,,,,
698,5,20,21,26,30,33,,,,,
699,12,13,21,25,29,32,,,,,
700,1,8,17,24,33,35,,,,,
701,20,22,24,32,36,39,,,,,
702,1,20,23,37,38,40,,,,,
703,20,24,27,28,38,41,,,,,
704,7,10,16,18,19,37,,,,,
705,14,15,16,18,20,33,,,,,
706,2,8,29,31,34,37,,,,,
707,8,15,21,32,40,41,,,,,
708,2,13,20,22,25,38,,,,,
709,1,11,13,29,37,39,,,,,
710,4,5,9,20,33,37,,,,,
711,5,11,15,24,34,39,,,,,
712,2,5,8,9,14,25,,,,,
713,19,20,21,24,25,26,,,,,
714,2,14,26,28,29,42,,,,,
715,5,10,12,25,28,31,,,,,
716,5,7,14,24,25,35,,,,,
717,13,14,16,21,29,42,,,,,
718,15,20,27,29,33,43,,,,,
719,11,14,27,31,34,42,,,,,
720,25,26,27,28,35,38,,,,,
721,1,14,23,24,27,40,,,,,
722,6,11,32,34,35,39,,,,,
723,16,27,28,36,39,42,,,,,
724,4,9,32,37,38,39,,,,,
725,5,6,7,20,31,41,,,,,
726,13,21,30,31,37,40,,,,,
727,3,24,26,27,39,41,,,,,
728,10,15,22,23,38,42,,,,,
729,2,10,16,18,27,42,,,,,
730,10,15,21,22,33,35,,,,,
731,6,7,23,25,38,42,,,,,
732,20,33,35,36,37,38,,,,,
733,5,13,14,26,37,38,,,,,
734,10,19,22,27,29,39,,,,,
735,5,12,19,22,32,39,,,,,
736,2,14,17,19,38,43,,,,,
737,6,10,21,24,27,39,,,,,
738,14,21,22,32,33,41,,,,,
739,11,13,18,20,28,38,,,,,
740,8,9,15,26,37,40,,,,,
741,8,11,15,29,36,43,,,,,
742,2,12,13,14,22,35,,,,,
743,3,4,8,10,14,37,,,,,
744,2,5,12,14,30,42,,,,,
745,8,12,16,23,33,34,,,,,
746,6,9,10,29,31,35,,,,,
747,8,19,20,23,24,35,,,,,
748,2,14,16,27,28,30,,,,,
749,7,8,11,13,23,40,,,,,
750,4,6,13,16,18,39,,,,,
751,13,16,21,25,31,38,,,,,
752,3,5,13,18,22,37,,,,,
753,2,4,11,15,20,38,,,,,
754,16,27,33,35,39,41,,,,,
755,10,16,20,25,29,39,,,,,
756,8,10,24,26,27,28,,,,,
757,4,10,14,19,35,38,,,,,
758,11,19,20,25,38,40,,,,,
759,14,22,25,28,37,41,,,,,
760,3,4,6,15,32,40,,,,,
761,8,10,11,12,20,40,,,,,
762,6,8,9,20,24,27,,,,,
763,6,8,10,21,39,42,,,,,
764,6,7,24,34,42,43,,,,,
765,4,14,17,22,26,41,,,,,
766,6,10,12,32,37,39,,,,,
767,2,6,11,27,29,37,,,,,
768,1,8,19,25,32,38,,,,,
769,1,2,4,16,17,38,,,,,
770,17,19,21,22,36,37,,,,,
771,15,21,31,32,33,34,,,,,
772,7,11,16,19,20,23,,,,,
773,4,7,10,11,12,32,,,,,
774,2,4,9,13,16,33,,,,,
775,1,2,21,22,37,38,,,,,
776,2,8,14,23,28,42,,,,,
777,15,16,23,29,37,39,,,,,
778,5,11,17,24,35,41,,,,,
779,10,13,27,34,36,39,,,,,
780,6,7,12,26,39,43,,,,,
781,5,6,15,23,40,43,,,,,
782,19,21,23,24,27,43,,,,,
783,9,14,22,24,25,32,,,,,
784,1,9,23,29,37,41,,,,,
785,1,9,18,20,24,29,,,,,
786,10,11,17,31,35,39,,,,,
787,4,5,13,21,33,34,,,,,
788,2,8,13,27,31,32,,,,,
789,12,17,29,32,38,40,,,,,
790,9,13,19,27,34,38,,,,,
791,1,10,22,24,34,37,,,,,
792,1,7,14,25,37,43,,,,,
793,10,13,14,19,26,43,,,,,
794,15,22,25,29,34,42,,,,,
795,13,19,24,28,33,38,,,,,
796,1,7,11,14,22,34,,,,,
797,1,4,13,18,23,39,,,,,
798,1,3,5,25,39,41,,,,,
799,4,6,8,10,19,28,,,,,
800,8,12,22,23,25,35,,,,,
801,2,18,19,20,25,31,,,,,
802,9,13,18,19,25,30,,,,,
803,9,29,33,34,35,41,,,,,
804,6,20,23,25,31,33,,,,,
805,2,14,19,22,24,43,,,,,
806,3,16,19,25,39,40,,,,,
807,1,6,12,20,22,23,,,,,
808,13,18,22,28,41,42,,,,,
809,2,11,20,31,32,37,,,,,
810,3,31,32,38,39,40,,,,,
811,2,6,20,24,31,40,,,,,
812,1,12,15,26,34,40,,,,,
813,9,10,12,13,28,38,,,,,
814,4,7,15,23,38,42,,,,,
815,1,2,6,24,25,41,,,,,
816,5,14,19,24,27,37,,,,,
817,16,21,27,32,34,43,,,,,
818,5,21,24,34,37,38,,,,,
819,10,19,23,25,30,40,,,,,
820,1,11,19,28,39,43,,,,,
821,7,10,12,34,40,43,,,,,
822,6,11,15,24,27,33,,,,,
823,5,6,23,30,37,38,,,,,
824,16,19,26,27,29,32,,,,,
825,6,10,12,16,39,40,,,,,
826,5,15,22,24,29,36,,,,,
827,2,4,23,24,33,41,,,,,
828,2,9,10,24,25,43,,,,,
829,2,3,23,32,36,39,,,,,
830,5,6,9,18,28,40,,,,,
831,3,4,7,13,22,31,,,,,
832,19,24,27,31,32,33,,,,,
833,5,6,13,20,22,28,,,,,
834,4,17,27,39,41,42,,,,,
835,5,9,10,28,39,40,,,,,
836,7,11,31,34,38,43,,,,,
837,5,17,34,37,39,42,,,,,
838,12,28,32,36,38,43,,,,,
839,1,3,5,12,13,38,,,,,
840,3,4,17,24,27,34,,,,,
841,8,22,24,28,31,36,,,,,
842,8,11,17,26,33,43,,,,,
843,3,7,8,26,42,43,,,,,
844,2,5,18,27,35,38,,,,,
845,2,12,13,22,24,34,,,,,
846,9,14,18,28,30,33,,,,,
847,9,10,23,31,35,36,,,,,
848,6,7,13,15,35,39,,,,,
849,1,3,4,10,15,40,,,,,
850,2,11,30,32,38,41,,,,,
851,5,8,14,20,26,27,,,,,
852,3,17,22,23,27,40,,,,,
853,2,9,22,26,31,35,,,,,
854,4,11,14,18,25,37,,,,,
855,10,13,15,25,37,42,,,,,
856,10,24,32,34,38,40,,,,,
857,1,3,6,17,28,42,,,,,
858,3,14,29,32,33,42,,,,,
859,1,12,15,17,21,36,,,,,
860,14,16,32,35,38,41,,,,,
861,4,17,21,28,35,42,,,,,
862,5,10,16,34,36,39,,,,,
863,4,14,18,26,35,36,,,,,
864,19,21,24,28,32,40,,,,,
865,5,7,8,12,23,25,,,,,
866,1,3,10,21,29,43,,,,,
867,2,14,21,26,37,38,,,,,
868,5,18,19,26,31,43,,,,,
869,5,7,23,24,37,38,,,,,
870,1,11,14,21,23,39,,,,,
871,3,10,11,13,20,27,,,,,
872,6,10,17,18,19,24,,,,,
873,4,22,26,27,32,43,,,,,
874,2,8,21,27,33,37,,,,,
875,4,5,11,13,22,25,,,,,
876,11,12,18,25,35,39,,,,,
877,3,14,17,32,35,43,,,,,
878,5,14,16,22,25,40,,,,,
879,24,27,34,35,36,43,,,,,
880,1,8,11,16,25,32,,,,,
881,4,6,12,18,28,41,,,,,
882,5,15,23,26,30,36,,,,,
883,10,16,25,29,38,42,,,,,
884,2,7,25,26,38,42,,,,,
885,22,28,33,36,37,41,,,,,
886,7,10,13,23,34,39,,,,,
887,3,4,6,18,32,37,,,,,
888,2,4,9,36,37,39,,,,,
889,2,10,21,28,41,43,,,,,
890,1,4,6,14,28,31,,,,,
891,7,9,14,30,42,43,,,,,
892,14,19,31,35,40,43,,,,,
893,10,12,26,28,29,37,,,,,
894,4,5,9,20,21,32,,,,,
895,5,12,24,25,37,38,,,,,
896,5,6,21,27,32,38,,,,,
897,8,10,14,15,27,30,,,,,
898,13,17,21,25,29,37,,,,,
899,3,10,15,18,27,40,,,,,
900,8,12,21,22,31,35,,,,,
901,6,13,22,28,29,37,,,,,
902,11,21,26,31,32,33,,,,,
903,1,3,6,7,16,19,,,,,
904,2,4,6,15,21,41,,,,,
905,4,15,24,40,41,42,,,,,
906,6,9,12,13,30,40,,,,,
907,5,13,18,22,27,41,,,,,
908,6,14,21,22,23,30,,,,,
909,12,15,21,27,30,35,,,,,
910,11,12,13,17,25,33,,,,,
911,8,16,18,22,27,35,,,,,
912,5,14,19,20,32,42,,,,,
913,5,8,20,31,36,41,,,,,
914,2,3,26,33,36,40,,,,,
915,7,12,21,33,38,40,,,,,
916,6,14,25,27,38,43,,,,,
917,2,6,25,26,41,42,,,,,
918,10,15,25,29,34,36,,,,,
919,2,9,12,17,33,42,,,,,
920,9,17,27,30,35,38,,,,,
921,5,7,26,36,38,39,,,,,
922,4,6,19,32,33,38,,,,,
923,5,13,30,31,32,35,,,,,
924,13,20,24,32,35,42,,,,,
925,25,26,27,28,32,37,,,,,
926,16,26,32,35,37,39,,,,,
927,2,29,30,31,33,34,,,,,
928,1,21,23,26,31,33,,,,,
929,10,12,15,25,31,34,,,,,
930,10,12,37,39,40,43,,,,,
931,14,18,19,24,25,33,,,,,
932,4,15,30,37,42,43,,,,,
933,5,9,20,21,31,41,,,,,
934,3,7,16,17,20,32,,,,,
935,2,12,14,26,38,43,,,,,
936,1,3,12,16,20,35,,,,,
937,13,15,21,25,36,41,,,,,
938,5,9,12,19,30,35,,,,,
939,8,11,15,17,26,43,,,,,
940,1,18,28,31,35,37,,,,,
941,5,12,22,29,38,39,,,,,
942,2,3,14,27,28,38,,,,,
943,9,10,14,15,39,43,,,,,
944,7,20,25,29,33,37,,,,,
945,3,10,15,23,36,37,,,,,
946,2,9,12,16,31,36,,,,,
947,1,6,21,23,27,40,,,,,
948,7,16,17,28,39,43,,,,,
949,5,19,26,36,39,43,,,,,
950,2,6,16,24,30,41,,,,,
951,11,15,22,23,26,30,,,,,
952,10,16,22,25,31,39,,,,,
953,2,9,17,38,39,42,,,,,
954,3,23,24,28,29,42,,,,,
955,14,19,27,28,37,42,,,,,
956,1,4,6,22,24,38,,,,,
957,2,11,22,32,36,42,,,,,
958,9,18,23,24,26,30,,,,,
959,1,16,18,28,36,38,,,,,
960,5,18,23,32,35,39,,,,,
961,5,11,17,18,19,25,,,,,
962,4,6,10,24,32,37,,,,,
963,4,23,29,31,32,35,,,,,
964,2,21,23,29,30,43,,,,,
965,10,12,19,20,21,22,,,,,
966,10,22,31,34,36,43,,,,,
967,1,11,26,30,32,40,,,,,
968,6,10,15,20,23,26,,,,,
969,3,9,19,22,23,40,,,,,
970,2,4,18,23,31,38,,,,,
971,2,3,4,12,22,29,,,,,
972,2,7,17,18,21,40,,,,,
973,1,5,6,12,30,31,,,,,
974,2,3,29,30,32,43,,,,,
975,3,11,13,27,29,36,,,,,
976,6,13,22,28,42,43,,,,,
977,10,15,17,27,42,43,,,,,
978,3,11,19,30,38,42,,,,,
979,9,12,16,18,27,38,,,,,
980,15,20,23,35,38,42,,,,,
981,14,19,22,23,31,37,,,,,
982,15,19,21,22,29,40,,,,,
983,15,19,32,35,36,38,,,,,
984,14,23,24,28,37,38,,,,,
985,3,11,19,26,29,38,,,,,
986,4,11,17,30,36,43,,,,,
987,3,14,15,24,25,36,,,,,
988,5,6,10,22,34,41,,,,,
989,5,7,31,33,36,39,,,,,
990,4,12,16,27,28,41,,,,,
991,3,18,21,25,29,37,,,,,
992,4,6,8,22,27,38,,,,,
993,1,5,10,32,38,40,,,,,
994,18,22,29,31,39,43,,,,,
995,7,11,17,21,37,39,,,,,
996,1,3,14,26,27,42,,,,,
997,3,5,8,11,33,43,,,,,
998,1,3,12,19,26,29,,,,,
999,8,15,17,30,32,36,,,,,
1000,1,15,21,22,26,29,,,,,
1001,9,12,15,16,18,35,,,,,
1002,8,14,22,25,27,41,,,,,
1003,13,22,26,34,38,43,,,,,
1004,3,21,23,24,27,32,,,,,
1005,5,13,20,24,25,27,,,,,
1006,7,8,16,31,32,33,,,,,
1007,3,8,17,25,28,43,,,,,
1008,11,14,16,21,24,39,,,,,
1009,3,19,34,36,40,43,,,,,
1010,6,12,16,24,25,37,,,,,
1011,23,26,27,29,30,43,,,,,
1012,9,11,19,22,27,38,,,,,
1013,3,20,36,38,39,41,,,,,
1014,2,3,9,19,40,42,,,,,
1015,9,14,20,23,27,32,,,,,
1016,1,14,31,32,39,42,,,,,
1017,1,4,24,30,39,40,,,,,
1018,3,22,25,28,32,39,,,,,
1019,8,14,15,22,25,40,,,,,
1020,2,25,27,28,35,42,,,,,
1021,3,30,32,33,34,39,,,,,
1022,3,15,19,30,34,37,,,,,
1023,9,17,24,25,33,40,,,,,
1024,2,4,5,20,37,43,,,,,
1025,10,17,20,21,36,43,,,,,
1026,1,8,11,17,22,26,,,,,
1027,13,16,17,19,20,38,,,,,
1028,7,10,18,21,28,36,,,,,
1029,5,13,22,31,37,39,,,,,
1030,4,9,17,20,23,42,,,,,
1031,2,4,7,22,32,35,,,,,
1032,11,20,21,30,36,43,,,,,
1033,1,15,21,24,37,41,,,,,
1034,14,20,24,25,31,32,,,,,
1035,9,15,17,19,27,33,,,,,
1036,2,8,17,27,30,31,,,,,
1037,1,3,12,13,21,32,,,,,
1038,3,7,24,25,27,39,,,,,
1039,6,9,20,34,37,41,,,,,
1040,7,13,15,21,23,34,,,,,
1041,14,22,27,29,33,37,,,,,
1042,4,10,11,12,18,25,,,,,
1043,21,29,30,32,38,42,,,,,
1044,3,7,16,26,34,39,,,,,
1045,1,19,21,30,31,43,,,,,
1046,6,13,17,18,27,43,,,,,
1047,5,9,13,31,32,35,,,,,
1048,26,27,30,31,34,40,,,,,
1049,3,6,15,23,24,31,,,,,
1050,3,8,14,28,31,43,,,,,
1051,5,13,20,28,30,32,,,,,
1052,6,26,34,37,42,43,,,,,
1053,4,11,23,27,35,42,,,,,
1054,7,9,10,19,28,33,,,,,
1055,5,11,20,25,26,32,,,,,
1056,14,16,19,29,32,37,,,,,
1057,2,11,19,21,28,38,,,,,
1058,11,12,17,23,29,43,,,,,
1059,8,26,27,29,35,43,,,,,
1060,5,10,16,17,32,37,,,,,
1061,1,12,14,16,20,29,,,,,
1062,2,7,28,39,42,43,,,,,
1063,6,12,13,34,38,42,,,,,
1064,4,13,18,27,30,39,,,,,
1065,11,13,27,37,41,42,,,,,
1066,2,11,29,36,40,42,,,,,
1067,5,9,25,27,28,33,,,,,
1068,3,9,21,34,35,42,,,,,
1069,12,17,26,30,33,40,,,,,
1070,11,21,25,34,35,36,,,,,
1071,1,10,25,27,31,40,,,,,
1072,3,17,20,32,36,43,,,,,
1073,1,3,5,8,20,39,,,,,
1074,8,9,16,27,30,33,,,,,
1075,7,8,21,24,34,42,,,,,
1076,21,22,24,30,31,43,,,,,
1077,1,4,9,23,30,36,,,,,
1078,3,12,20,33,35,41,,,,,
1079,8,12,19,24,30,36,,,,,
1080,6,15,16,19,38,41,,,,,
1081,6,8,13,17,18,20,,,,,
1082,9,12,19,21,39,40,,,,,
1083,10,13,15,18,25,38,,,,,
1084,1,7,20,28,34,38,,,,,
1085,3,20,21,30,34,35,,,,,
1086,3,7,9,31,38,43,,,,,
1087,10,13,26,27,30,36,,,,,
1088,5,8,16,24,32,33,,,,,
1089,5,17,19,22,41,42,,,,,
1090,3,10,15,22,27,40,,,,,
1091,21,22,24,26,28,30,,,,,
1092,2,11,18,27,30,33,,,,,
1093,4,19,26,40,42,43,,,,,
1094,6,7,20,24,28,43,,,,,
1095,3,6,15,18,23,27,,,,,
1096,6,19,21,31,38,41,,,,,
1097,1,5,8,14,19,21,,,,,
1098,1,19,31,33,35,43,,,,,
1099,6,8,12,17,18,24,,,,,
1100,2,6,16,23,32,35,,,,,
1101,4,5,7,10,13,16,,,,,
1102,3,6,9,13,36,37,,,,,
1103,8,13,14,18,24,38,,,,,
1104,15,25,32,33,36,38,,,,,
1105,12,15,25,31,39,40,,,,,
1106,1,4,8,10,18,33,,,,,
1107,6,7,12,22,30,33,,,,,
1108,12,25,29,32,38,43,,,,,
1109,6,8,14,27,36,42,,,,,
1110,1,6,21,34,36,39,,,,,
1111,6,16,17,27,33,41,,,,,
1112,6,9,15,19,39,42,,,,,
1113,1,12,14,26,34,41,,,,,
1114,2,7,9,28,38,39,,,,,
1115,3,10,12,26,38,42,,,,,
1116,1,11,33,34,35,38,,,,,
1117,2,6,7,9,19,23,,,,,
1118,1,11,21,25,34,36,,,,,
1119,3,6,15,21,42,43,,,,,
1120,10,12,13,29,35,39,,,,,
1121,2,8,31,38,40,42,,,,,
1122,22,24,29,31,32,34,,,,,
1123,4,8,23,29,34,35,,,,,
1124,1,16,24,28,40,42,,,,,
1125,2,16,19,20,24,36,,,,,
1126,4,5,26,30,34,42,,,,,
1127,9,15,17,21,23,42,,,,,
1128,3,15,21,29,30,35,,,,,
1129,6,11,19,28,30,43,,,,,
1130,1,11,37,38,39,42,,,,,
1131,6,12,25,36,38,41,,,,,
1132,4,5,24,29,33,35,,,,,
1133,3,18,19,20,37,38,,,,,
1134,5,6,12,14,30,38,,,,,
1135,20,22,28,29,32,41,,,,,
1136,3,4,7,8,22,33,,,,,
1137,1,18,21,31,37,41,,,,,
1138,8,15,21,24,35,38,,,,,
1139,4,6,14,17,23,33,,,,,
1140,11,21,30,31,36,37,,,,,
1141,1,4,10,14,24,26,,,,,
1142,12,13,19,23,28,35,,,,,
1143,19,21,31,39,42,43,,,,,
1144,7,13,14,33,39,43,,,,,
1145,1,4,15,18,25,28,,,,,
1146,1,10,19,23,26,34,,,,,
1147,2,3,10,16,26,27,,,,,
1148,3,5,16,23,31,43,,,,,
1149,2,14,22,23,35,43,,,,,
1150,7,11,17,27,32,40,,,,,
1151,5,23,25,26,29,31,,,,,
1152,6,8,10,33,35,43,,,,,
1153,4,15,20,24,26,30,,,,,
1154,8,12,30,36,41,42,,,,,
1155,14,19,22,23,28,43,,,,,
1156,3,6,19,31,35,40,,,,,
1157,5,17,20,28,39,42,,,,,
1158,22,24,27,30,32,40,,,,,
1159,1,4,15,16,23,30,,,,,
1160,9,22,31,32,34,43,,,,,
1161,1,2,12,16,19,40,,,,,
1162,3,4,8,12,24,37,,,,,
1163,11,17,19,24,33,41,,,,,
1164,4,7,11,33,34,37,,,,,
1165,18,20,21,24,40,42,,,,,
1166,4,8,17,20,29,41,,,,,
1167,6,13,20,25,36,42,,,,,
1168,1,3,8,14,35,39,,,,,
1169,19,24,25,36,37,43,,,,,
1170,1,8,13,19,23,28,,,,,
1171,9,10,13,21,34,36,,,,,
1172,3,10,31,32,38,39,,,,,
1173,5,7,11,16,33,38,,,,,
1174,7,8,9,25,29,31,,,,,
1175,2,4,6,21,27,37,,,,,
1176,2,9,18,23,29,32,,,,,
1177,2,5,21,22,23,38,,,,,
1178,16,17,20,22,29,40,,,,,
1179,5,12,27,36,39,40,,,,,
1180,2,4,5,13,18,21,,,,,
1181,15,16,17,29,31,32,,,,,
1182,5,6,10,13,24,33,,,,,
1183,2,19,22,25,32,36,,,,,
1184,2,6,21,30,31,36,,,,,
1185,6,15,18,26,27,31,,,,,
1186,8,10,20,25,38,43,,,,,
1187,3,13,18,20,24,31,,,,,
1188,3,9,19,20,23,30,,,,,
1189,8,24,28,30,38,41,,,,,
1190,1,3,13,29,38,39,,,,,
1191,3,5,11,20,25,32,,,,,
1192,15,17,18,22,30,39,,,,,
1193,1,2,7,8,10,42,,,,,
1194,12,18,20,23,33,40,,,,,
1195,1,4,17,22,35,42,,,,,
1196,6,7,19,31,39,41,,,,,
1197,3,24,28,36,37,39,,,,,
1198,1,14,20,26,27,34,,,,,
1199,9,10,11,20,28,40,,,,,
1200,2,8,10,12,31,42,,,,,
1201,1,15,19,22,26,28,,,,,
1202,9,12,15,19,26,39,,,,,
1203,2,4,6,37,39,42,,,,,
1204,10,20,21,24,39,43,,,,,
1205,12,25,26,32,35,42,,,,,
1206,11,19,20,26,32,33,,,,,
1207,6,16,17,20,22,43,,,,,
1208,5,14,20,30,38,41,,,,,
1209,11,12,24,32,38,40,,,,,
1210,5,6,12,16,23,36,,,,,
1211,3,8,24,25,26,28,,,,,
1212,2,16,27,35,40,42,,,,,
1213,3,13,22,26,30,39,,,,,
1214,2,19,23,30,33,36,,,,,
1215,3,6,9,15,21,42,,,,,
1216,8,14,25,39,42,43,,,,,
1217,14,16,17,34,36,41,,,,,
1218,5,8,13,20,28,42,,,,,
1219,14,22,24,36,39,42,,,,,
1220,9,15,21,23,32,42,,,,,
1221,3,10,11,31,33,36,,,,,
1222,1,5,7,11,29,39,,,,,
1223,12,22,28,30,36,43,,,,,
1224,5,18,33,38,41,43,,,,,
1225,19,22,25,30,33,34,,,,,
1226,7,8,28,34,37,41,,,,,
1227,1,8,14,28,40,43,,,,,
1228,6,18,19,25,28,40,,,,,
1229,10,28,35,37,39,43,,,,,
1230,1,2,6,9,17,38,,,,,
1231,1,14,16,24,32,36,,,,,
1232,5,10,14,31,35,38,,,,,
1233,2,7,12,21,29,33,,,,,
1234,7,11,16,20,30,40,,,,,
1235,8,17,24,34,36,42,,,,,
1236,1,3,11,26,38,39,,,,,
1237,1,4,6,35,38,40,,,,,
1238,8,14,28,29,33,40,,,,,
1239,2,19,27,28,30,38,,,,,
1240,15,18,22,36,37,39,,,,,
1241,4,7,15,17,23,25,,,,,
1242,12,22,28,34,37,42,,,,,
1243,23,24,32,37,41,42,,,,,
1244,10,15,17,18,20,41,,,,,
1245,13,15,27,30,31,39,,,,,
1246,4,10,11,23,36,37,,,,,
1247,4,7,17,18,26,36,,,,,
1248,2,6,14,28,34,37,,,,,
1249,5,8,15,20,25,27,,,,,
1250,3,10,18,22,23,40,,,,,
1251,21,28,31,33,34,40,,,,,
1252,4,15,18,19,22,29,,,,,
1253,1,12,14,24,33,37,,,,,
1254,7,8,11,15,36,39,,,,,
1255,2,14,15,27,40,43,,,,,
1256,2,5,16,32,35,41,,,,,
1257,1,11,19,23,32,37,,,,,
1258,8,14,20,25,31,41,,,,,
1259,10,16,20,26,33,36,,,,,
1260,3,8,16,19,25,26,,,,,
1261,9,20,26,29,30,34,,,,,
1262,4,11,15,20,24,43,,,,,
1263,3,8,13,14,31,37,,,,,
1264,1,6,27,33,35,43,,,,,
1265,5,20,26,27,28,33,,,,,
1266,3,12,16,23,25,28,,,,,
1267,4,18,31,33,34,41,,,,,
1268,8,11,15,22,35,36,,,,,
1269,9,10,11,33,39,42,,,,,
1270,9,10,24,30,35,40,,,,,
1271,1,11,14,27,39,42,,,,,
1272,4,9,13,32,37,38,,,,,
1273,18,20,22,26,34,37,,,,,
1274,3,15,18,23,31,37,,,,,
1275,7,19,21,28,40,41,,,,,
1276,5,6,9,11,16,35,,,,,
1277,12,16,20,22,31,43,,,,,
1278,3,4,18,28,34,36,,,,,
1279,4,10,16,17,20,24,,,,,
1280,1,9,11,21,29,36,,,,,
1281,3,7,9,15,29,40,,,,,
1282,1,4,10,11,24,28,,,,,
1283,1,26,27,30,37,38,,,,,
1284,4,14,17,21,24,39,,,,,
1285,7,8,13,36,38,42,,,,,
1286,11,32,37,39,41,42,,,,,
1287,9,21,23,34,37,38,,,,,
1288,8,9,19,24,35,43,,,,,
1289,6,9,16,24,29,37,,,,,
1290,18,24,27,32,35,41,,,,,
1291,2,6,8,12,13,17,,,,,
1292,1,18,29,30,31,37,,,,,
1293,2,5,15,27,30,35,,,,,
1294,7,14,18,26,28,39,,,,,
1295,14,23,31,37,39,43,,,,,
1296,5,11,15,16,23,32,,,,,
1297,1,2,7,29,34,42,,,,,
1298,4,6,15,22,30,42,,,,,
1299,3,12,24,28,38,39,,,,,
1300,3,18,25,26,32,33,,,,,
1301,6,7,9,16,30,41,,,,,
1302,4,7,25,30,34,43,,,,,
1303,7,10,24,33,35,42,,,,,
1304,6,25,30,38,40,42,,,,,
1305,4,6,19,36,38,40,,,,,
1306,7,11,23,36,38,41,,,,,
1307,6,25,27,28,30,43,,,,,
1308,6,9,10,15,34,39,,,,,
1309,24,32,34,36,41,43,,,,,
1310,9,24,25,27,34,36,,,,,
1311,12,23,26,29,36,37,,,,,
1312,13,24,25,26,32,39,,,,,
1313,5,12,21,31,36,43,,,,,
1314,3,10,20,21,27,33,,,,,
1315,3,8,23,30,32,40,,,,,
1316,6,16,26,35,36,39,,,,,
1317,6,10,13,19,32,43,,,,,
1318,2,3,7,14,19,41,,,,,
1319,9,10,19,21,28,30,,,,,
1320,4,6,12,16,17,34,,,,,
1321,10,24,31,40,41,43,,,,,
1322,2,3,13,28,32,37,,,,,
1323,5,6,10,24,29,40,,,,,
1324,1,7,8,17,25,42,,,,,
1325,8,18,23,26,33,38,,,,,
1326,2,3,9,12,30,41,,,,,
1327,2,3,13,22,23,30,,,,,
1328,7,9,23,32,37,40,,,,,
1329,11,15,18,22,37,42,,,,,
1330,2,19,24,32,36,43,,,,,
1331,2,14,30,31,38,39,,,,,
1332,5,15,18,22,33,40,,,,,
1333,2,9,15,22,26,35,,,,,
1334,1,2,7,14,29,43,,,,,
1335,10,16,19,34,35,39,,,,,
1336,4,5,11,19,31,34,,,,,
1337,3,6,21,28,29,34,,,,,
1338,2,6,23,25,30,31,,,,,
1339,1,10,15,33,34,42,,,,,
1340,6,15,18,20,26,29,,,,,
1341,9,12,15,16,26,39,,,,,
1342,1,4,9,16,23,31,,,,,
1343,2,8,10,12,19,23,,,,,
1344,8,16,20,28,37,43,,,,,
